,Time,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
S398,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S401,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0
S402,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
S403,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
S404,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0
S405,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
S406,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S407,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0
S408,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S409,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
S410,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
S411,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S412,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S413,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S414,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
S415,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S416,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
S417,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
S418,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
S419,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S420,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
S421,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S422,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
S423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S424,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S425,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S426,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S427,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S428,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
S429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S430,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
S431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S434,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
S435,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S436,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S437,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S438,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
S439,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
S440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S442,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S443,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
S444,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
S445,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S446,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S447,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1
S448,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
S449,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0
S450,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0
S451,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
S452,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
S453,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S454,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S455,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
S456,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S457,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0
S458,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
S459,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
S460,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
S461,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
S462,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
S463,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
S464,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
S465,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0
S466,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
S467,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S469,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
S470,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1
S471,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
S472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S473,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
S474,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
S475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S477,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
S478,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
S479,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S480,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1
S481,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
S482,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
S483,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0
S484,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S485,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S486,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0
S487,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
S488,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S489,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
S490,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
S491,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S492,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0
S493,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S494,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
S495,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S496,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
S497,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
S498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S499,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S500,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
S501,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0
S502,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
S503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S504,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S505,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
S506,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S507,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
S508,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S509,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S510,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S511,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S512,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S513,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
S514,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
S515,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S516,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
S517,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S518,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
S519,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S520,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
S521,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S522,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S523,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S524,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S525,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S526,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S527,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
S528,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
S529,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S530,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S531,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S533,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
S534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S535,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
S536,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
